"","subject","type","item","condition","question","correct_answer","response","rt","group","ambiguity","trimmed_rt"
"20",1,"gap",9,"a","!","{The_table}",1,3739,-0.5,0.5,3739
"36",1,"gap",1,"a","!","{The_car}",0,4587,-0.5,0.5,4587
"40",1,"gap",7,"a","!","{The_sky}",1,1791,-0.5,0.5,1791
"55",1,"gap",11,"a","!","{The_table}",1,1797,-0.5,0.5,1797
"58",1,"gap",12,"b","!","{The_bread}",1,1744,-0.5,-0.5,1744
"65",1,"gap",6,"b","!","{The_race}",1,2085,-0.5,-0.5,2085
"78",1,"gap",2,"b","!","{The_truck}",1,1632,-0.5,-0.5,1632
"85",1,"gap",8,"b","!","{The_church}",1,3415,-0.5,-0.5,3415
"103",1,"gap",10,"b","!","{The_car}",1,2519,-0.5,-0.5,2519
"108",1,"gap",3,"a","!","{The_ship}",0,2644,-0.5,0.5,2644
"155",1,"gap",4,"b","!","{The_door}",1,2134,-0.5,-0.5,2134
"168",1,"gap",5,"a","!","{The_car}",1,4305,-0.5,0.5,4305
"199",2,"gap",10,"a","!","{The_car}",1,2074,-0.5,0.5,2074
"220",2,"gap",1,"b","!","{The_car}",0,2714,-0.5,-0.5,2714
"227",2,"gap",3,"b","!","{The_island}",1,1319,-0.5,-0.5,1319
"234",2,"gap",6,"a","!","{The_race}",1,1820,-0.5,0.5,1820
"244",2,"gap",9,"b","!","{The_table}",1,1392,-0.5,-0.5,1392
"249",2,"gap",4,"a","!","{The_door}",1,1155,-0.5,0.5,1155
"253",2,"gap",12,"a","!","{The_bread}",1,2868,-0.5,0.5,2868
"257",2,"gap",5,"b","!","{The_car}",1,1342,-0.5,-0.5,1342
"272",2,"gap",11,"b","!","{The_table}",1,954,-0.5,-0.5,954
"321",2,"gap",8,"a","!","{The_church}",1,1400,-0.5,0.5,1400
"331",2,"gap",2,"a","!","{The_truck}",1,2852,-0.5,0.5,2852
"356",2,"gap",7,"b","!","{The_tower}",0,2391,-0.5,-0.5,2391
"375",3,"gap",11,"a","!","{The_table}",1,1636,-0.5,0.5,1636
"388",3,"gap",6,"b","!","{The_race}",1,2839,-0.5,-0.5,2839
"398",3,"gap",1,"a","!","{The_bicycle}",1,2090,-0.5,0.5,2090
"419",3,"gap",2,"b","!","{The_truck}",1,6286,-0.5,-0.5,6286
"433",3,"gap",3,"a","!","{The_island}",1,5202,-0.5,0.5,5202
"440",3,"gap",9,"a","!","{The_table}",1,3036,-0.5,0.5,3036
"452",3,"gap",8,"b","!","{The_church}",1,8095,-0.5,-0.5,8095
"463",3,"gap",5,"a","!","{The_car}",1,5365,-0.5,0.5,5365
"474",3,"gap",4,"b","!","{The_door}",1,2407,-0.5,-0.5,2407
"489",3,"gap",7,"a","!","{The_tower}",0,4768,-0.5,0.5,4768
"506",3,"gap",10,"b","!","{The_car}",1,3133,-0.5,-0.5,3133
"515",3,"gap",12,"b","!","{The_bread}",1,2051,-0.5,-0.5,2051
"588",4,"gap",12,"a","!","{The_cake}",0,1759,-0.5,0.5,1759
"592",4,"gap",2,"a","!","{The_truck}",1,1696,-0.5,0.5,1696
"617",4,"gap",1,"b","!","{The_car}",0,1413,-0.5,-0.5,1413
"621",4,"gap",5,"b","!","{The_car}",1,1435,-0.5,-0.5,1435
"625",4,"gap",3,"b","!","{The_ship}",0,2176,-0.5,-0.5,2176
"635",4,"gap",8,"a","!","{The_church}",1,2291,-0.5,0.5,2291
"642",4,"gap",6,"a","!","{The_race}",1,1343,-0.5,0.5,1343
"685",4,"gap",9,"b","!","{The_table}",1,2552,-0.5,-0.5,2552
"691",4,"gap",10,"a","!","{The_car}",1,1237,-0.5,0.5,1237
"698",4,"gap",11,"b","!","{The_room}",0,1632,-0.5,-0.5,1632
"711",4,"gap",7,"b","!","{The_tower}",0,1497,-0.5,-0.5,1497
"715",4,"gap",4,"a","!","{The_window}",0,1567,-0.5,0.5,1567
"735",5,"gap",1,"a","!","{The_bicycle}",1,3963,-0.5,0.5,3963
"761",5,"gap",6,"b","!","{The_race}",1,3783,-0.5,-0.5,3783
"768",5,"gap",4,"b","!","{The_door}",1,3219,-0.5,-0.5,3219
"775",5,"gap",7,"a","!","{The_sky}",1,1479,-0.5,0.5,1479
"784",5,"gap",8,"b","!","{The_church}",1,1518,-0.5,-0.5,1518
"787",5,"gap",9,"a","!","{The_table}",1,2462,-0.5,0.5,2462
"794",5,"gap",5,"a","!","{The_car}",1,1739,-0.5,0.5,1739
"801",5,"gap",11,"a","!","{The_table}",1,1617,-0.5,0.5,1617
"816",5,"gap",3,"a","!","{The_ship}",0,4022,-0.5,0.5,4022
"856",5,"gap",10,"b","!","{The_car}",1,1947,-0.5,-0.5,1947
"891",5,"gap",12,"b","!","{The_bread}",1,2466,-0.5,-0.5,2466
"894",5,"gap",2,"b","!","{The_wall}",0,4644,-0.5,-0.5,4644
"926",6,"gap",9,"b","!","{The_table}",1,3681,-0.5,-0.5,3681
"935",6,"gap",12,"a","!","{The_bread}",1,2341,-0.5,0.5,2341
"952",6,"gap",2,"a","!","{The_truck}",1,1665,-0.5,0.5,1665
"959",6,"gap",4,"a","!","{The_door}",1,1648,-0.5,0.5,1648
"977",6,"gap",1,"b","!","{The_bicycle}",1,1085,-0.5,-0.5,1085
"1005",6,"gap",7,"b","!","{The_sky}",1,1991,-0.5,-0.5,1991
"1009",6,"gap",10,"a","!","{The_car}",1,4177,-0.5,0.5,4177
"1026",6,"gap",6,"a","!","{The_race}",1,2515,-0.5,0.5,2515
"1036",6,"gap",3,"b","!","{The_island}",1,2190,-0.5,-0.5,2190
